country,lifeexpectancy,schoolenrollment,GDP
Finland,81.7341463414634,154.820236206055,48049.5837841337
France,82.7243902439024,103.773330688477,45284.0027939624
French Polynesia,77.462,,
Gabon,66.187,,14744.4343267491
"Gambia, The",61.735,,2158.07755816639
Georgia,73.6,105.978721618652,14253.4089858441
Germany,80.8926829268293,97.5934982299805,53486.8405707004
Ghana,63.78,71.3196868896484,5177.88398862782
Gibraltar,,,
Greece,81.7878048780488,104.877899169922,29150.6944922443
Greenland,,,
Grenada,72.384,120.118339538574,16801.9552384337
Guam,79.859,,
Guatemala,74.063,52.7224311828613,8462.17210684372
Guinea,61.185,,2499.70726640711
Guinea-Bissau,58.003,,1901.93173857674
Guyana,69.774,,12477.5767111562
Haiti,63.66,,2992.31041114318
Honduras,75.088,,5680.36288396582
"Hong Kong SAR, China",84.9341463414634,107.489791870117,61062.9476532626
Hungary,76.0658536585366,103.921157836914,31095.557503677
Iceland,82.8609756097561,117.979942321777,56818.1958373473
India,69.416,74.379508972168,6518.84505546914
Indonesia,71.509,88.9101715087891,11371.7255560847
"Iran, Islamic Rep.",76.479,,13471.8606376875
Iraq,70.454,,10346.2129581855
Ireland,82.2560975609756,154.908294677734,83726.362960889
Isle of Man,,,
Israel,82.8024390243903,105.557060241699,39418.3453068224
Italy,83.3463414634146,101.353103637695,42052.5563822519
Jamaica,74.368,82.2886734008789,9734.86228780542
Japan,84.2109756097561,101.954147338867,41821.7085276266
Jordan,74.405,63.1165313720703,10013.3976633388
Kazakhstan,73.15,114.243713378906,25544.3447563035
Kenya,66.342,,4203.83827267811
Kiribati,68.116,,2254.05923175595
"Korea, Dem. People's Rep.",72.095,,
"Korea, Rep.",82.6268292682927,98.5063629150391,41948.3460057222
Kosovo,72.2439024390244,,10895.044002822
Kuwait,75.398,,50478.5875050676
Kyrgyz Republic,71.4,95.0548095703125,5133.1519146081
Lao PDR,67.61,67.3617782592773,7592.82947474583
Latvia,74.7829268292683,109.155700683594,30036.0865499334
Lebanon,78.875,,15588.1528714896
Lesotho,53.705,,2614.65884916972
Liberia,63.73,,1497.00478720289
Libya,72.724,,15017.9935741811
Liechtenstein,83.0414634146342,112.010162353516,
Lithuania,75.6804878048781,108.237937927246,35427.4618636641
Luxembourg,82.2951219512195,104.300483703613,113589.670473448
"Macao SAR, China",84.118,101.036636352539,132416.8028844
Madagascar,66.681,36.5269317626953,1592.05355843859
Malawi,63.798,40.2817611694336,1471.03724879602
Malaysia,75.997,81.9922637939453,27558.1369502408
Maldives,78.627,85.2781372070313,18795.5303498427
Mali,58.893,41.0272789001465,2283.70241285673
Malta,82.4487804878049,107.266738891602,43313.4770253615
Marshall Islands,,,3806.68972448112
Mauritania,64.704,36.833911895752,5042.43119844404
Mauritius,74.4163414634146,95.0961990356445,22208.1381171868
Mexico,74.992,105.103363037109,19928.3956618582
"Micronesia, Fed. Sts.",67.755,,3460.90904773797
Moldova,71.808,109.226371765137,12363.1468378401
Monaco,,,
Mongolia,69.689,,11915.5567471637
Montenegro,76.77,89.8778228759766,20686.5759142606
Morocco,76.453,80.2261962890625,7446.93622037578
Mozambique,60.163,,1289.73594800556
Myanmar,66.867,68.4368209838867,5029.1880858737
Namibia,63.373,,10092.258820242
Nauru,,,13636.3609415279
Nepal,70.478,,3773.71591761441
Netherlands,81.8121951219512,134.279434204102,56060.9136269404
New Caledonia,77.4341463414634,,
New Zealand,81.8585365853659,114.638832092285,42866.1272276586
Nicaragua,74.275,,5729.68822390273
Niger,62.024,,1200.97246385835
Nigeria,54.332,43.5111389160156,5155.07599367409
North Macedonia,75.688,79.9904479980469,16093.3104230501
Northern Mariana Islands,,,
Norway,82.7585365853659,117.450088500977,64341.2589026158
Oman,77.633,106.665992736816,28350.9435298546
Pakistan,67.114,42.6746597290039,4739.47271266276
Palau,,,18444.3077619985
Panama,78.329,,31012.9461549459
Papua New Guinea,64.263,46.9737892150879,4190.0948949613
Paraguay,74.131,,12827.7080209236
Peru,76.516,106.445411682129,12781.4164435302
Philippines,71.095,84.0453872680664,8516.13654897274
Poland,77.6024390243903,111.970199584961,31674.1316243417
Portugal,81.3243902439024,120.833976745605,34040.7255617749
Puerto Rico,79.7781951219512,,34299.358536451
Qatar,80.1,,90970.0609016321
Romania,75.3585365853659,89.0690994262695,28523.4731832065
Russian Federation,72.6621951219512,103.763107299805,26656.4095416865
Rwanda,68.7,40.8960609436035,2088.74922433298
Samoa,73.187,,6322.2089973185
San Marino,,60.2405204772949,59576.4293867845
Sao Tome and Principe,70.17,,3993.27879583907
Saudi Arabia,74.998,110.086280822754,47592.7671473292
Senegal,67.665,,3309.48617330672
Serbia,75.890243902439,95.0872421264648,17452.7958990327
Seychelles,72.8414634146341,81.4479064941406,27342.1616519905
Sierra Leone,54.309,,1663.29348036377
Singapore,83.2975609756098,105.844299316406,98222.846041782
Sint Maarten (Dutch part),,,35342.1066072069
Slovak Republic,77.2658536585366,91.3626098632813,31132.5729674338
Slovenia,81.3780487804878,114.489212036133,37984.1329244764
Solomon Islands,72.835,,2697.64643055486
Somalia,57.068,,866.765302072035
South Africa,63.857,100.511169433594,12627.9285840445
South Sudan,57.604,,
Spain,83.4317073170732,126.179153442383,40256.9524767458
Sri Lanka,76.812,100.335220336914,12860.3208303539
St. Kitts and Nevis,,,25901.6333033394
St. Lucia,76.057,89.3604125976563,15261.3643508088
St. Martin (French part),79.8219512195122,,
St. Vincent and the Grenadines,72.415,107.226409912109,12466.4161360546
Sudan,65.095,45.8641891479492,4344.52988671066
Suriname,71.57,82.2636337280273,19005.6543464151
Sweden,82.5585365853659,151.704544067383,52349.2924275599
Switzerland,83.7536585365854,102.570678710938,70597.2920689752
Syrian Arab Republic,71.779,,
Tajikistan,70.879,,3415.32233593608
Tanzania,65.015,29.435079574585,2590.20113826159
Thailand,76.931,117.738807678223,18095.7365704368
Timor-Leste,69.26,83.6174621582031,3051.66811727864
Togo,60.76,,2061.33417572853
Tonga,70.801,,6411.28936778647
Trinidad and Tobago,73.38,,26250.3722429394
Tunisia,76.505,,10763.7297838206
Turkey,77.437,104.478828430176,28312.6834243604
Turkmenistan,68.073,,14845.3446497287
Turks and Caicos Islands,,76.5366821289063,28160.8892876027
Tuvalu,,66.7279434204102,3945.56367272662
Uganda,62.973,,2121.96781993514
Ukraine,71.5826829268293,,12338.0024454764
United Arab Emirates,77.814,,66968.2211775042
United Kingdom,81.2560975609756,120.783576965332,46037.9005384222
United States,78.6390243902439,99.2755813598633,61585.7560382102
Uruguay,77.77,121.176239013672,23035.0833880454
Uzbekistan,71.573,94.9880676269531,6755.48097366685
Vanuatu,70.323,,3093.46154723291
"Venezuela, RB",72.128,,
Vietnam,75.317,,7585.94315504036
Virgin Islands (U.S.),79.5195121951219,,
West Bank and Gaza,73.895,89.4877471923828,6318.21006766832
"Yemen, Rep.",66.096,,
Zambia,63.51,,3521.5420629895
Zimbabwe,61.195,,3341.66541766316
