,country,SecondarySchoolCompletionRate,GDP,Urbanpop
99,Lithuania,100.418426513672,37166.2100814318,1895962.0
100,Luxembourg,116.738403320313,116518.276815474,565584.0
101,"Macao SAR, China",98.0594787597656,127272.548511029,640446.0
102,Madagascar,35.4730796813965,1618.61797345348,10210849.0
103,Malaysia,84.9147720336914,28421.4632396632,24475775.0
104,Maldives,111.175018310547,19510.49184133,213646.0
105,Malta,104.022117614746,43950.5880527847,477236.0
106,Marshall Islands,95.3398132324219,4048.57927332937,45514.0
107,Mauritania,45.9422912597656,5343.99792146683,2466822.0
108,Mauritius,89.2140502929688,22869.7563093473,515980.0
109,Mexico,90.6881332397461,19677.2753402017,102626859.0
110,"Micronesia, Fed. Sts.",79.4520492553711,3465.5401920561,25963.0
111,Moldova,108.491310119629,13026.5160219088,1138637.0
112,Mongolia,94.7922973632813,12486.077460816,2210626.0
113,Montenegro,89.9447784423828,21533.9519518839,417692.0
114,Morocco,64.4070816040039,7537.48527234118,22975024.0
115,Mozambique,24.2340297698975,1281.78001360291,11092108.0
116,Nauru,86.5671615600586,13527.411941066,10764.0
117,Nepal,99.459098815918,3952.76034914913,5765514.0
118,Niger,17.6575298309326,1224.37513477719,3850231.0
119,Norway,99.6927108764648,64452.812617024,4418218.0
120,Oman,105.948593139648,27382.77129701,4250782.0
121,Pakistan,48.9684104919434,4697.72657915561,79927762.0
122,Peru,101.632438659668,12853.6920747721,25390346.0
123,Philippines,83.0879821777344,8914.72379823318,50975906.0
124,Poland,103.306869506836,33185.1581282308,22793332.0
125,Portugal,93.6031036376953,34945.6615139469,6764658.0
126,Qatar,94.8369827270508,89966.4497223279,2809075.0
127,Romania,88.5453262329102,29875.0830235921,10476962.0
128,Russian Federation,103.989318847656,27210.5459977867,107708298.0
129,Rwanda,42.4986801147461,2227.51703252759,2186102.0
130,Samoa,102.761207580566,6631.58705445418,35587.0
131,San Marino,94.5945892333984,60847.1067610929,32973.0
132,Saudi Arabia,105.457580566406,46962.147688222,28807839.0
133,Senegal,37.3810997009277,3361.46154773707,7765705.0
134,Serbia,97.0302734375,18306.7776526064,3907389.0
135,Seychelles,110.162002563477,27611.1189337206,55762.0
136,Sierra Leone,72.2191619873047,1705.1914520016,3319363.0
137,Singapore,100.159812927246,98411.5820616053,5703569.0
138,Slovak Republic,83.1930465698242,31927.5938301222,2930459.0
139,Slovenia,96.1799697875977,38946.6853820836,1144894.0
140,Solomon Islands,70.455940246582,2660.97969650967,162164.0
141,South Africa,80.3723297119141,13709.9663747111,39149715.0
142,Spain,97.6436920166016,40803.6269757506,37973121.0
143,Sri Lanka,97.9640197753906,13070.1256448919,4052088.0
144,St. Lucia,91.8019790649414,15200.8720507536,34281.0
145,Suriname,47.4272308349609,19036.7450382918,384252.0
146,Sweden,107.631187438965,52850.5691792533,9015406.0
147,Switzerland,95.6192932128906,70944.3548128194,6332759.0
148,Tanzania,34.2192611694336,2660.42043252302,20011884.0
149,Timor-Leste,90.8135223388672,3626.67316234677,400182.0
150,Togo,50.0889701843262,2121.89991847011,3414635.0
151,Turkey,88.7890090942383,28197.2488314389,63097812.0
152,Tuvalu,64.7058792114258,4274.76316552592,7368.0
153,United Arab Emirates,101.90991973877,68263.6755335341,8479742.0
154,United Kingdom,99.9539566040039,47368.5844114534,55909924.0
155,United States,103.408462524414,62630.8732765742,270737596.0
156,Uruguay,94.5867233276367,23032.7340435597,3303391.0
157,Uzbekistan,94.7095413208008,7348.14688265697,16935578.0
158,Vanuatu,46.9542694091797,3137.2410503945,76152.0
159,West Bank and Gaza,93.4770278930664,6245.44869712345,3581448.0
160,Zimbabwe,69.0319213867188,3630.03398530519,4717307.0
